entity_id,state,last_changed
sensor.shellypro3em_leistung,-8.664,2026-06-06T22:49:27.616Z
sensor.shellypro3em_leistung,0.606,2026-06-06T22:49:37.604Z
sensor.shellypro3em_leistung,9.522,2026-06-06T22:49:53.600Z
sensor.shellypro3em_leistung,-7.637,2026-06-06T22:50:08.604Z
sensor.shellypro3em_leistung,-0.858,2026-06-06T22:50:23.609Z
sensor.shellypro3em_leistung,0.034,2026-06-06T22:50:39.610Z
sensor.shellypro3em_leistung,8.344,2026-06-06T22:50:55.611Z
sensor.shellypro3em_leistung,-9.454,2026-06-06T22:51:11.605Z
sensor.shellypro3em_leistung,-2.675,2026-06-06T22:51:27.606Z
sensor.shellypro3em_leistung,11.338,2026-06-06T22:51:43.620Z
sensor.shellypro3em_leistung,0.488,2026-06-06T22:51:49.622Z
sensor.shellypro3em_leistung,17.681,2026-06-06T22:52:05.629Z
sensor.shellypro3em_leistung,-1.245,2026-06-06T22:52:10.612Z
sensor.shellypro3em_leistung,-9.824,2026-06-06T22:52:26.613Z
sensor.shellypro3em_leistung,10.144,2026-06-06T22:52:41.626Z
sensor.shellypro3em_leistung,1.951,2026-06-06T22:52:55.628Z
sensor.shellypro3em_leistung,-8.31,2026-06-06T22:53:11.612Z
sensor.shellypro3em_leistung,-1.06,2026-06-06T22:53:27.610Z
sensor.shellypro3em_leistung,2.877,2026-06-06T22:53:43.607Z
sensor.shellypro3em_leistung,-0.538,2026-06-06T22:53:59.604Z
sensor.shellypro3em_leistung,12.768,2026-06-06T22:54:07.601Z
sensor.shellypro3em_leistung,1.413,2026-06-06T22:54:12.600Z
sensor.shellypro3em_leistung,-8.125,2026-06-06T22:54:28.629Z
sensor.shellypro3em_leistung,6.662,2026-06-06T22:54:44.614Z
sensor.shellypro3em_leistung,-10.632,2026-06-06T22:54:59.615Z
sensor.shellypro3em_leistung,5.501,2026-06-06T22:55:06.606Z
sensor.shellypro3em_leistung,-8.781,2026-06-06T22:55:15.593Z
